Player,class_year,position
Lianyi Becquer Leblanch,Freshman,C
Doris Ruzima,Sophomore,G
Tristian Martin,Sophomore,G
Genesis Zabaleta Alarcon,Freshman,F
Jaya Nelson,Sophomore,G
Ana Vakanjac,Freshman,C
Madison Snowden,Freshman,F/C
Iva Cholakoska,Freshman,F
Deborah Adenike Oladina,Freshman,F
Aichatou Camara,Sophomore,F
