Player,class_year,position
KaMariya Simmons,Freshman,C
Irene Fernandez Pavesio,Freshman,F
Renae Brant,Sophomore,PG
Carla Cencerrero,Freshman,G
Genesis Zabaleta Alarcon,Sophomore,F
Basirat Animashaun,Freshman,F
Shameir Quimby,Freshman,G
Vivian Urhobara,Freshman,F
Jamicia Davis,Sophomore,G/F
Madison Snowden,Sophomore,F/C
Iva Cholakoska,Sophomore,G
Queen Benjamina,Freshman,C
