Player,class_year,position
Taiyee Treasure,Freshman,G
Rio Yamazaki,Freshman,PG
Camila Barrena Campana,Freshman,PG
Alise Markova,Sophomore,F
Ahmari Young,Sophomore,PG
Genesis Zabaleta-Alarcon,Freshman,F
Nazlah Morrow,Sophomore,F
Jamaica Williams,Freshman,G
Danielle Tennant,Sophomore,C
